area,branch,name,postalCode,street
Dresden,,L & W Gesellschaft für Fertigungsmeßtechnik und Qualitätssicherung mbH,01217,Gostritzer Str. 67 a
Sohland,,L & R Verwaltungs GmbH,02689,Am Gewerbering 2
Nossen,,L & R Management GmbH & Co. Service KG,01683,Waldheimer Str. 8
Erfurt,,L & R Management GmbH & Co. Service KG,99091,Nordhäuser Str. 73 t
Dresden,,L & R Management GmbH,01129,Maxim-Gorki-Str. 57
Radeberg,,L & R Getränkehandels GmbH,01454,Dresdner Str.34
Dresden,,L & N Erneuerbare Energien Marketing und Vertriebs GmbH & Co. KG,01309,Loschwitzer Str. 15 a
Klipphausen OT Pinkowitz,,L & L Luxury & Lifestyle UG (haftungsbeschränkt),01665,Pinkowitz 9 b
Lommatzsch,,L & K GmbH,01623,Weitzschenhain Nr. 3
Lommatzsch,,"L & K (Neuer Firmenname: L & K GmbH. Geschäftsanschrift: Weitzschenhain Nr. 3, 01623 Lommatzsch)",01623,Weitzschenhain Nr. 3
Berlin,,L & L Grundbesitz GmbH,10117,Friedrichstr. 94
Bannewitz OT Wilmsdorf,,L & H Softwareberatung und Entwicklung GmbH,01728,Siedlung 15
Dresden,,L & D Asset Management GmbH,01277,An der Pikardie 6
Dresden,,L & C Verwaltungsgesellschaft mbH,01099,Hermann-Mende-Str. 5-7
Moritzburg OT Boxdorf,,L & A Lasertechnik und Applikationen GmbH,01468,Ringstr. 35
Meißen,,L + L Handels und Service GmbH,01662,Wilsdruffer Str. 35
Wachau OT Leppersdorf,,T.M.A. Handelsgesellschaft mbH,01454,An den Breiten
Pirna,,T.M-Dienstleistung UG (haftungsbeschränkt),01796,Schmiedestr. 36
Dresden,,T.H. Beteiligungs UG (haftungsbeschränkt),01099,Provianthofstr. 1
Seeheim-Jugenheim,,T-enT GmbH,64342,Breslauer Str. 10
Dresden,,T-C-H Service KG,01097,Königstraße 17
Dresden,,T-Systems Multimedia Solutions GmbH,01129,Riesaer Str. 5
Radeberg,,T+H Immobilien GmbH,01454,Agathe-Zeis-Str. 6
Hirschstein,,T&W-Montagen UG (haftungsbeschränkt),01594,Fährstraße 6a
Coswig,,S&B Elektrotechnik GmbH,01640,Juliot-Curie-Straße 16
Hähnichen,,"S u. H - ""Heideland"" Gebäudevermietung GmbH",02923,Koseler Str. 27
Dresden,,S-VISIT GmbH (Neuer Firmenname: S-Mobil GmbH),01326,Grundstr. 1-3
Klipphausen,,S-Tec GmbH,01665,Dr.-Jungheinrich-Platz 2
Dresden,,S-Mobil GmbH,01324,Bautzner Landstr. 145
Dresden OT Marsdorf,,S. Wagner Verwaltungs-GmbH,01108,Am Erlicht 5
München,,LA-X Consulting GmbH,80539,Maximilianstr. 35 a
Freital,,S. u. S. Versicherungsvermittlungsgesellschaft mit beschränkter Haftung,01705,Rabenauer Str. 2 a
Elsterheide OT,,S. Richter GmbH,02979,Elstergrund 23
Ottendorf-Okrilla,,laan solar KG,01458,Alter Dresdner Weg 12
Bautzen,,Lack- & Farbzentrum Liebsch GmbH,02625,Baschützer Str. 19
Dresden,,Lace up! GmbH,01187,Alte Schuhfabrik
Freital,,Lack-Schomer KG,01705,Am Dorfplatz 10
Dresden,,LACK EINS GmbH,01156,Gewerbepark 2
Bautzen,,Laborservice GmbH & Co Beratungs- und Handels-KG,02625,Töpferstraße 17
Bautzen,,Laborservice Bautzen Verwaltungs-GmbH,02625,Töpferstr. 17
Bautzen,,S.J. Immobilien und Grundstücks GmbH,02625,Weigangstr. 7
Dresden,,S.I.P. Sportequipement for International People GmbH,01219,Reicker Str. 60
Bautzen,,SAB Silo- und Getreidetechnik GmbH,02625,Töpferstr. 15
Schlottwitz,,sab Sanierung am Bau Holz- und Bautenschutz GmbH,01768,Straße der AWG 2
Käbschütztal,,Saatzucht von Kameke Lommatzsch GmbH & Co. KG,01665,Nimtitz 5
Bannewitz,,SAAS Systemanalyse und Automatisierungsservice GmbH,01728,Neues Leben 30
Dortmund,,S2I Science to Industry GmbH,44263,Am Sommerberg 65
Dresden,,S1 Objekt GmbH,01279,Altlaubegast 5
Dresden,,Sachsen IDEALTOURS GmbH Busunternehmen und Reisebüro,01159,Tharandter Str. 30
Berlin,,SACHSEN IMMOBILIEN PIRNA GmbH,10117,Friedrichstr. 95
Rothenburg,,Sachsen Holz + Brennstoff GmbH,02929,Dorfstr. 26
Görlitz,,Sachsen Pellet GmbH,02826,Goethestr. 3
Dresden,,SACHSEN INNOVATIV GmbH,01257,Nickerner Platz 2
Wachau OT Leppersdorf,,Sachsen Frischprodukte Komplementär GmbH,01454,An den Breiten
München,,Sachsen Forum Werbe UG (haftungsbeschränkt),80336,Poccistr. 11
Freital,,Sabel Freital gAG,01705,Kirchstr. 1
Boxberg OT Sprey,,Sachsen Fischland GmbH (Neuer Firmenname: Aqua Food Peitzer Edelfisch GmbH),02943,An der Binnenfischerei 1
Dresden,,Sachsen Finanzgruppe,01307,Güntzplatz 5
Görlitz,,Sachsen-Wacht GmbH,02828,Am Klinikum 7
Chemnitz,,Sachsenland Trucks GmbH,09114,Blankenburgstr. 116
Dresden,,Sachsenland Transport & Logistik GmbH Dresden,01067,Magdeburger Str. 58
Dippoldiswalde OT Obercarsdorf,,Sachsenküchen H.-J. Ebert GmbH,01744,Dresdner Str. 78
Ostritz,,Sachsenkräuter GmbH (Neuer Firmenname: Kräutermanufaktur St. Marienthal GmbH),02899,St. Marienthal 9
Dresden,,SACHSENKONTOR GmbH Papier,01259,Putjatinstr. 26
Dresden,,SACHSENJOB GmbH,01099,Bautzner Str. 17
Dresden,,SACHSENJOB GmbH,01099,Bautzner Str. 17
Nossen,,Sachsenhof Nossen UG (haftungsbeschränkt),01683,Schulstr. 1
Riesa,,Sachsenhof Häschel & Winkler OHG,01587,Hauptstr. 65
Dresden,,Sachsenhof GmbH Dresdner Fleisch- und Wurstspezialitäten,01067,Schlachthofring 5
Dresden,,SachsenhausHV GmbH,01099,Bautzner Str. 120
Dresden,,Sachsenhaus Dresden GmbH,01099,Bautzner Str. 120
Dresden,,Sachsengarage GmbH,01159,Reisewitzer Str. 82
Wachau OT Leppersdorf,,Sachsenmilch Leppersdorf GmbH,01454,An den Breiten
Wachau,,Sachsenmilch Käserei Komplementär GmbH (Neuer Firmenname: Sachsenmilch Käserei GmbH),01454,An den Breiten
Zwickau,,Sachsenprovider KG,08060,Agricolastr. 17
Dresden,,SACHSENPROJEKT ENTWICKLUNGSGESELLSCHAFT MBH,01309,Bergmannstr. 22
Wilsdruff,,Sächsische Bäckereibacköfen Wilsdruff GmbH (Neuer Firmenname: Friedrich Sachsen GmbH),01723,Wilsdruffer Str. 4
Dresden,,Sächsische Aufbaubank GmbH,01069,Pirnaische Str. 9
Zittau,,Sächsisch-Oberlausitzer Eisenbahn-Gesellschaft mit beschränkter Haftung,02763,Bahnhofstr. 41
Dresden,,Sächsisch-Kroatische Gesellschaft e.V.,01129,Kopernikusstr. 13
Dresden,,Sächsische Aufbaubank - Förderbank -,01069,Pirnaische Str. 9
Bautzen,,Sächsische Anlagenbau GmbH Anlagen & Maschinenvertrieb,02625,Töpferstr. 15
Berlin,,Sächsisch-Brandenburgische Glashütten GmbH im Aufbau,10117,Reinhardtstr. 31
Radebeul,,Sachsenwein Kache/Ebert OHG,01445,Altkötzschenbroda 59 a
Berlin,,Sachsenwelle Wellpapperzeugung- und -verarbeitung GmbH,12057,Dieselstr. 35
Radebeul,,SachsenWeb Aktiengesellschaft (Neuer Firmenname: Serpreneur AG. Neuer Sitz: Radebeul),01445,Wichernstr. 10
Lampertswalde OT Brößnitz,,Sächsisch-Brandenburger-Höhenzug e.V.,01561,Dorfstr. 1
Dresden,,Sachsenwerbung & Service UG (haftungsbeschränkt),01129,Kronenstr. 29
Freital,,Sächsische Porzellan-Manufaktur Dresden GmbH,01705,Bachstraße 16
Heidenau,,Sächsische Netzwerke Huck GmbH,01809,Dresdner Str. 107
Lampertswalde OT Quersa,,Sächsische Milcherzeugergenossenschaft Quersa eG,01561,Mühlbacher Weg 4
Großharthau,,Sächsische Malzindustrie und Nährmittelfabrik GmbH,01909,Dresdner Str. 27
Görlitz,,Sächsische Mahn- und Inkassodienst GmbH & Co.KG,02826,Goethestr. 42
Dresden,,Sächsische Schlauch- und Dichtungstechnik Ulrich Melzig GmbH,01156,Dresdner Str. 111
Pirna,,Sächsische SANDSTEINWERKE GmbH,01796,Alt-Rottwerndorf 4
Lampertswalde OT Quersa,,Sächsische Milcherzeugergenossenschaft Quersa e.G. (Neuer Firmenname: Sächsische Milcherzeugergenossenschaft Quersa eG. Neuer Sitz: Lampertswalde),01561,Mühlbacher Weg 4
Chemnitz,,Sächsische Revisions- und Treuhand GmbH Wirtschaftsprüfungsgesellschaft,09116,Neefestraße 86
Dresden,,Sächsische Projektmanagement und Service Ltd. Co. KG,01187,Zwickauer Str. 76
Freital,,Sächsische Porzellanmanufaktur Dresden GmbH,01705,Carl-Thieme-Str. 16
Kamenz,,SÄCHSISCHE LUFTFAHRT SERVICE Training,01917,Zum Tower 8
Dresden,,Sächsische Lokalrundfunk-Dienstleistungsprogramm Verwaltungs-GmbH,01069,Ammonstr. 35
Dresden,,Sächsische Lokalrundfunk-Dienstleistungsprogramm GmbH & Co. Studiobetriebs-KG,01067,Ammonstr. 35
Freital,,Sächsische Porzellanmanufaktur Dresden Immobilien GmbH & Co. KG,01705,Carl-Thieme-Str. 16
Dresden,,Sächsische Wohn- & Gewerbeimmobilien GmbH,01277,Karcherallee 47
Meißen,,Sächsische Winzergenossenschaft Meißen eG,01662,Bennoweg 9
Meißen,,Sächsische Winzergenossenschaft Meißen e.G. (Neuer Firmenname: Sächsische Winzergenossenschaft Meißen eG),01662,Bennoweg 9
,,Sächsisches Kulturzentrum (SKZ) e.V.,,
Kurort Oybin,,"Sächsisches Institut für Regionalökonomie und Energiewirtschaft - International Consultants (SIRE) Aktiengesellschaft (Neuer Firmenname: SIRE Sächsisches Institut für Regionalentwicklung und Energiewirtschaft AG International Consultant. Neuer Sitz: Kurort Oybin. Geschäftsanschrift: Friedrich-Engels-Str. 12, 02797 Kurort Oybin)",02797,Friedrich-Engels-Str. 12
Dresden,,Sächsisches Handelshaus TESCHU Handels-Gesellschaft mit beschränkter Haftung (Neuer Firmenname: Sächsisches Handelshaus Teschu GmbH),01097,Robert-Blum-Straße 9/11
Dresden,,Sächsisches Handelshaus Teschu GmbH,01097,Robert-Blum-Str. 9/11
Dresden,,Sächsisches Gemeinschaftsprogramm GmbH & Co. Kommanditgesellschaft,01067,Ammonstraße 35
Dresden,,Sachwert Sachsen GmbH,01277,Altenberger Str. 13
Radevormwald,,Sachverständigengesellschaft Manfred Plica mbH,42727,Vogelsmühle 16 b
Radebeul,,Sächsisches Staatsweingut GmbH,01445,Wackerbarthstr. 1
Dresden,,safety factor Jürgen Faulstich,01328,Dresdner Str. 26
Elsterheide,,saferay Fünfte Solar GmbH,02979,Spreetaler Str. 4
Dresden,,SAFE Sicherheitsunternehmen in Sachsen GmbH,01309,Krenkelstr. 22
Bischofswerda,,Sägewerk und Holzfachhandel Schmelzer GmbH,01877,Belmsdorfer Str. 39
Dresden,,SaHa Wirtschaftsberatung GmbH,01309,Prellerstr. 17
Radeberg OT Liegau-Augustusbad,,SaHeL Sanitär- und Heizungstechnik Dresden-Laubegast GmbH (Neuer Firmenname: SAHEL GmbH),01454,Bauernweg 5
Cunewalde,,Sägewerk und Holzhandel Leuner Inhaber Andreas Leuner e. Kfm.,02733,Klipphausen 1
Weißwasser,,Sägewerk und Holzhandel Michael Kopte e.K.,02943,Braunsteichweg 43
Dresden,,SAM Real Estate Management GmbH,01099,Königsbrücker Str. 17
Wilsdruff STT Kesselsdorf,,SAM PRODUCTION GmbH,01723,Zschoner Ring 2
Görlitz,,SAM Invest 2 GmbH,02826,Lutherstr. 23
Wachau OT Leppersdorf,,SAM Molkerei GmbH,01454,An den Breiten
Görlitz,,SAM Invest 3 GmbH,02826,Lutherstr. 23
Görlitz,,SAM Invest 1 GmbH,02826,Lutherstr. 23
Wilsdruff,,SAM EVENT & SERVICE GmbH,01723,Sachsenallee 28
Wachau OT Leppersdorf,,SAM Cheese GmbH (Neuer Firmenname: Sachsenmilch Molke GmbH),01454,An den Breiten
Altenberg,,SALUS domi GmbH,01773,Max-Niklas-Str. 1
Mülheim,,Salzgitter Mannesmann Precision GmbH,45473,Wiesenstr. 36
Zeithain,,Salzgitter Mannesmann Rohr Sachsen GmbH,01619,Mannesmannstr. 11
Dresden,,saltatio UG (haftungsbeschränkt) (Neuer Firmenname: grün erwirtschafteten UG (haftungsbeschränkt)),01307,Comeniusstr. 32
Dresden,,Salon Michael UG (haftungsbeschränkt),01279,Marienberger Str. 66
Kreischa,,Salon LA BEAUTÉ UG (haftungsbeschränkt),01731,Haußmannplatz 4
Pirna,,Salon Kopfsache UG (haftungsbeschränkt),01796,Schloßpark 13 A
Freital,,Salon Hein e.K.,01705,Dresdner Str. 60
Dresden,,Salodia Solutions GmbH,01067,Altmarkt 10 B/D
Großenhain,,Salon haarscharf UG (haftungsbeschränkt),01558,Weßnitzer Str. 2
Dresden,,SALMIRA Projektentwicklungs KG,01099,Arndtstraße 6
Freiberg,,Salix Sanierung UG (haftungsbeschränkt),09599,Carl-Schiffner-Str. 37
Dresden,,SalesGuide24 e.K.,01069,Buchenstr. 12
Dresden,,SalesGuide24 Marketing GmbH,01097,Buchenstr. 12
Dresden,,Saldo-Solid GmbH,01257,Bismarckstr. 56
Dresden,,Sales Innovators (Sii) AG,01309,Käthe-Kollwitz-Ufer 76
Dresden,,SAL Energy UG (haftungsbeschränkt) & Co. KG,01187,Bernhardstr. 100
Dresden,,Salam Orienthandel & Gastronomie UG (haftungsbeschränkt),01139,Sternstr. 19
Löbau,,SAL Stahl- und Anlagenbau Löbau GmbH,02708,Weißenberger Str. 49
Dresden,,SAL Beteiligungs UG (haftungsbeschränkt),01187,Bernhardstr. 100
Großbeeren,,Sakon GmbH,14979,Dorfaue 9
Dresden,,SaKo Papageien GmbH,01157,Alte Meißner Landstr. 31
Leipzig,,SAEK-Förderwerk für Rundfunk und neue Medien,04109,Ferdinand-Lassalle-Str. 21
Dresden,,SAKA GmbH,01109,Augustusweg 11
Pirna,,Sajonz Vermietungs-GmbH & Co.KG,01796,Jacobäer Straße 1
Pirna,,Sajonz Beteiligungs-GmbH,01796,Jacobäer Straße 1
Radeburg,,Saint-Gobain Glassolutions Objekt-Center GmbH,01471,Bahnhofstr. 30
Dresden,,sailAware UG (haftungsbeschränkt),01129,Riesaer Str. 54
Dresden,,Saia-Burgess Dresden GmbH,01257,Wilhelm-Liebknecht-Str. 6
Meißen,,Sahin Pflasterbau GmbH,01662,Heinrich-Heine-Str. 9
Moritzburg,,"Sahm & Lehmann Beteiligungsgesellschaft mbH (Neuer Firmenname: Lehmann Consulting GmbH. Neuer Sitz: Moritzburg. Geschäftsanschrift: Am Heideberg 13, 01468 Moritzburg)",01468,Am Heideberg 13
Ebersbach-Neugersdorf OT Ebersbach,,SAGEVER Service Agentur Gerhard Verkooyen e.Kfm.,02730,Unterer Kirchweg 15
Haselbachtal,,Sägen Ledrich OHG,01920,Haselbachstraße 15
Hamburg,,Saga Travel Incoming Reiseagentur GmbH,22391,Weißbirkenkamp 30
Dresden,,SAG Sanierungs- und Ausbau GmbH Dresden,01277,Schlüterstr. 20
Dippoldiswalde OT Sadisdorf,,SAG Sadisdorfer Agrar AG,01744,Frauensteiner Str. 9a
Dresden,,SAG Abwasserreinigungs-Ingenieur-GmbH Sachsen,01217,Räcknitzhöhe 35
Heidenau,,Safran KG Restauration & Service,01809,Bahnhofstr. 9
Dresden,,Safia Venture Verwaltungsgesellschaft mbH,01217,Gostritzer Str. 63
Dresden,,Safia Corporate Finance GmbH,01217,Gostritzer Str. 63
Königswartha,,safety-IT GmbH,02699,Hermsdorfer Str. 5
Heidenau,,Saegeling Medizintechnik Service- und Vertriebs GmbH,01809,Ernst-Thälmann-Str. 30
Werder,,SADVIS GmbH,14542,Berliner Str. 112 a
Riesa,,Sadikovic Bau GmbH,01591,Paul-Greifzu-Str. 19
Dresden,,Samed GmbH Mobile Urologie,01187,Bamberger Str. 7
Dresden,,Samed GmbH Dresden,01187,Bamberger Str. 7
Zittau,,sambohl UG (haftungsbeschränkt),02763,An der Roten Höhe 1
Glaubitz,,Sanierungsgesellschaft Region Zeithain/Glaubitz mbH,01612,Bahnhofstr. 19
Großröhrsdorf,,Sanierung Rödertal GmbH,01900,Gewerbering Nord 11
Rösrath,,Sanicura Medical GmbH,51503,Hauptstr. 231
Dresden,,SANICUR Dresden GmbH,01277,Augsburger Str. 89
Görlitz,,SANDSTRAHL SCHUCH GmbH Fassaden- und Korrossionsschutz,02826,Holteistraße 10
Dresden,,Sandstorm Media UG (haftungsbeschränkt),01307,Blasewitzer Str. 41
Dresden,,Sandstorm Media GmbH,01307,Am Tatzberg 47
,,SANDSTEINSPIELE e.V. - Landschaftstheater in der Sächsischen Schweiz,,
Radebeul,,Sandstein-Concept GmbH & Co. KG,01445,Gartenstraße 50
Dresden,,Sandstein Neue Medien GmbH,01309,Goetheallee 6
Schwepnitz,,Sandro Fritzsche Maschinenbau e.K.,01936,Ortrander Str. 12 B
Dresden,,Sandra Jäckel e. K.,01099,Provianthofstr. 3
Dresden,,Sanierungsträgergesellschaft mbH Dresden-Pieschen,01127,Markusstr. 8
Dresden OT Gompitz,,Sanitär Heinze Handelsgesellschaft mbH,01156,Altnossener Str. 2
Wiesbaden,,Sanistance Kranken- und Pflegeservice GmbH,65189,Frankfurter Str. 39
Dresden,,Sanitär Heizung Dach Schurig GmbH & Co. KG,01237,Mügelner Str. 2
Weinböhla,,Sanitär-Heizung-Solartechnik Helmut Seidel e.K.,01689,Spitzgrundstraße 63b
Königsbrück,,Sanitär-Heizung-Klempnerei Klingebiel GmbH,01936,Am Sportplatz 5
Hoyerswerda,,Sanitär-Heizung Olaf Werner GmbH (Neuer Firmenname: Atelier 77 Olaf Werner GmbH),02977,Alte Berliner Str. 6
Dresden,,Sanistance Gesundheitsdienst & Management GmbH,01277,Tolkewitzer Straße 20
Nossen,,SANITÄR-TECHNIK NOSSEN GmbH Grande & Partner,01683,Bismarckstr. 49
Dresden,,Sanisax GmbH,01129,Trachenberger Str. 27
Dresden,,Sanitätshaus Christian Kupfer Ortho-Medical GmbH,01157,Hebbelstr. 9
Panschwitz-Kukau,,"Sanitätshaus Finger e.K. (Neuer Firmenname: Sanitätshaus Panschwitz-Kuckau, Inhaber Gert Müller-Gottschlik e.K)",01920,Mittelweg 5
Dresden,,Sanitätshaus Dresden Prohlis GmbH,01239,Georg-Palitzsch-Str. 12
Dresden,,Santrotec® Immobilien GmbH,01139,Alttrachau 10
Riesa,,SANTEKO UG (haftungsbeschränkt),01589,Robert-Koch-Str. 11 a
Freital,,SARAD - GEOLAB Gesellschaft zur Planung,01159,Wiesbadener Str. 20
Bad Schandau,,SAO Stahl- und Anlagenbau Oberelbe GmbH,01814,Rudolf-Sendig- Str. 14
Darmstadt,,Sanwelt Technologie & Handel GmbH,64287,Alfred-Messel-Weg 40
Dresden,,SARAD - Gesellschaft für komplexe Leistungen zur Sanierung radiologisch belasteter Objekte mit beschränkter Haftung (Neuer Firmenname: SARAD GmbH. Neuer Sitz: Dresden),01159,Wiesbadener Straße 10-20
Dresden,,SARAD - GEOLAB GmbH Gesellschaft zur Planung,01159,Wiesbadener Str. 20
Löbau,,SAPV-Team Oberlausitz gemeinnützige GmbH,02708,Äußere Zittauer Str. 47 A
Weinböhla,,Sat - TV - Video - Hi-Fi - Funk - Haushalttechnik - Reparaturservice Jürgen Müller e.k.,01689,Dresdner Str. 64 a
Dresden,,Sascha Lippe - Snookerservice GmbH,01157,Hamburger Straße 58
Hamburg,,sat. Services GmbH,22765,Borselstr. 34
Großröhrsdorf OT Bretnig,,SASTA Bewehrungsbau GmbH,01900,Gewerbering Nord Nr. 10
Dresden,,savoir vivre Verwaltungs- & Betriebs-GmbH,01127,Bürgerstr. 65
Dresden,,Sax Concept 21 UG (haftungsbeschränkt),01067,Könneritzstraße 25
Dresden,,Sax Concept 21 GmbH,01067,Könneritzstr. 15
Hamburg,,SAX - TEX Betriebs GmbH,21073,Wilstorfer Straße 71
Dresden,,SAX - Invest - Grundbesitz und Beteiligungs UG (haftungsbeschränkt),01307,Dürerstraße 97
Wilkau-Haßlau,,SAWP GmbH,08112,Gewerbering 22
Dresden,,SAX Business Consult GmbH,01219,Wiener Str. 80 a
Dresden,,SAX-Haus Bauträger GmbH,01309,Spenerstr. 17
Radeburg,,SAX Tours GmbH,01471,Hofwall 1 a
Dresden,,SAX Stadtmagazin UG (haftungsbeschränkt),01099,Bautzner Str. 22
Dresden,,SAX Residence GmbH,01309,Käthe-Kollwitz-Ufer 92
Dresden,,Sax Real Grundstücks- GmbH & Co.KG,01219,Wiener Str. 81
Planegg,,SAX Grundbesitz GmbH,82152,Bahnhofstr. 32
Dresden,,SAX Finanz Consult GmbH,01219,Wiener Str. 80
Dresden,,SAX REAL ESTATE GmbH,01067,Prager Str. 2b
Dresden,,SAW COMPONENTS Dresden GmbH,01099,Manfred-von-Ardenne-Ring 7
Dresden,,Sax Energie GmbH & Co. KG,01219,Wiener Str. 98
Nossen OT Mutzschwitz,,Saskia Holding UG (haftungsbeschränkt),01683,Mutzschwitz 14
Klipphausen OT Wildberg,,Sauter Biogas GmbH,01665,Am Berg 1 b
Großröhrsdorf,,Saurunksen Veit Wittenberger e.K.,01900,Bischofswerdaer Str. 157
Bautzen OT Großwelka,,Sauriergarten Gruß GmbH,02625,Großwelkaer Str. 27
Großenhain,,Sauer Verwaltungs GmbH (Neuer Firmenname: 1a - Zeitarbeit GmbH),01558,Bobersbergstr. 12
Bad Gottleuba-Berggießhübel OT Hellendorf,,Sauer tool design GmbH,01816,Am Taubenherd 54
Großenhain,,Sauer Stadt- und Landbau GmbH,01558,Major-von-Minckwitz-Allee 22
Nebelschütz,,Sauenzuchtanlage Nebelschütz GmbH,01920,Lindenstr. 16
Dresden,,Sauberwerk Objekt- und Dienstleistungs GmbH,01309,Schandauer Str. 34
Diera-Zehren OT Nieschütz,,Satztechnik Meißen GmbH,01665,Am Sand 1 C
Klipphausen OT Röhrsdorf,,Saubachtaler Agrar Aktiengesellschaft,01665,Pinkowitzer Str. 13
Calau,,SAX-TAX Treuhand AG Steuerberatungsgesellschaft,03205,Mühlenstr. 48 a
Coburg,,satus immobilien gmbh,96450,Casimirstr. 11
Moritzburg OT Friedewald,,Sattler Verwaltungs GmbH,01468,Am Sandberg 1
Dresden,,Saturn Electro-Handelsgesellschaft mbH Dresden-Reick,01067,Altmarkt-Galerie Dresden Webergasse 1
Dresden,,Saturn Electro-Handelsgesellschaft mbH Dresden,01067,Altmarkt-Galerie Dresden Webergasse 1
Seifhennersdorf,,Sattlerei Wagner Gewebekonfektion + Werbetechnik e. K. (Neuer Firmenname: WAGNER Digitaldruck und Präsentationssysteme e.K),02782,Viebigstraße 4
Dresden,,Sattler Beteiligungs GmbH,01069,Strehlener Str. 14
Moritzburg,,Sattler Bau- und Handels GmbH & Co. KG,01468,Am Sandberg 1
Wilsdruff OT Kesselsdorf,,Satra Eberhardt GmbH,01723,Zschoner Ring 30
Freital,,Satra Containerdienst GmbH,01705,Dorfplatz 1
Dresden,,Sascha Dorok Beratungs- und Management GmbH,01157,Cossebauder Str. 1
Suhl,,Säthas Baugesellschaft mbH,98527,Ilmenauer Str. 27
Berlin,,Sartorit Berlin Grundstücks GmbH,13509,Haus N
Dresden,,Sarrasani GmbH,01069,Wiener Platz 1
Dresden,,Sarrasani Event GmbH,01139,Peschelstr. 33
Dresden,,Sarrasani Entertainment GmbH,01139,Peschelstr. 33
Neschwitz OT Saritsch,,Saritscher Agrar-GmbH,02699,Zum Herrenhaus 18
Niesky,,SAREG GmbH (Neuer Firmenname: FAS Flex Arbeit Sachsen GmbH),02906,Am Waggonbau 11
Dresden,,Sarea Reiseservice GmbH,01309,Borsbergstr. 19
Dresden,,Sarang GmbH,01159,Rudolf-Renner-Str. 36
,,Sarahs Sternenzauber e.V.,,
Dresden,,SARAD mikrosystems GmbH,01159,Wiesbadener Str. 20
Dresden,,SARAD GmbH,01159,Wiesbadener Str. 10-20
Dresden,,SAPV PLUS gGmbH,01307,Blumenstr. 70
Görlitz,,SAPOS gemeinnützige GmbH,02828,Heilige-Grab-Str. 69
Dresden,,Saxedo GmbH,01099,Bautzner Str. 80
Dresden,,Saxe Travel GmbH,01239,Liesel-von-Schuch-Str. 7
Dresden,,Saxenergie VentoSol GmbH & Co. KG,01219,Wiener Str. 98
Dresden,,SaxEnergie Handels GmbH & Co. KG,01219,Wiener Str. 98
Dresden,,SaxCon e.V.,01157,Brückenstr. 1
Dresden,,SaxBreeding GmbH,01108,Radeburger Landstr. 12
Bautzen,,saxbauSchneider GmbH,02625,Am Feldschlößchen 10
Dresden,,Sarad Procom GmbH,01159,Wiesbadener Str. 20
Dresden,,Saxonia CARS & FINANCE Dresden GmbH,01159,Fröbelstr. 57
Welzow,,Saxonia Biopower GmbH,03119,Spremberger Str. 141
Radeberg,,Saxonia Medical Vertriebsgesellschaft mbH (Neuer Firmenname: Saxonia Separation Technologies GmbH),01454,Juri-Gagarin-Str. 13
Radeberg,,Saxonia Medical GmbH,01454,Juri-Gagarin-Str. 13
Dresden,,Saxonia Bildungsinstitut,01067,Könneritzstr. 5
Dresden,,SAXONIA Fördergesellschaft für das Hotel- und Gaststättengewerbe im Freistaat Sachsen mbH,01159,Tharandter Str. 5
Radeberg,,Saxonia R + D GmbH & Co. KG,01454,Juri-Gagarin-Str. 13 a
Dresden,,Saxonia Treuhand Immobilien AG,01257,Bismarckstr. 56
Dresden,,Saxonia Marketing GmbH (Neuer Firmenname: Saxonia Systems Holding GmbH),01067,Könneritzstraße 5
Radeberg,,Saxonia R + D Verwaltungs GmbH,01454,Juri-Gagarin-Str. 13 a
Dresden,,Saxonia Systems Technologies GmbH,01069,Fritz-Foerster-Platz 2
Dresden,,Saxonia Systems Holding GmbH,01069,Fritz-Foerster-Platz 2
Dresden,,Saxoniastone UG (haftungsbeschränkt) (Neuer Firmenname: SaxoPlan UG (haftungsbeschränkt)),01097,Großenhainer Str. 9
Weißwasser,,Saxoniahealthcare UG (haftungsbeschränkt),02943,Tiergartenstr. 4
Dresden,,SaxoniaCatering e.Kfr.,01067,Ammonstr. 35
Ohorn,,Saxoniastone Verwaltung UG (haftungsbeschränkt),01896,Weberstr. 1 a
Dresden,,Saxonia Yachtbau GmbH,01279,Österreicher Str. 95
Dresden,,Saxonia Werte Projekt GmbH & Co. KG,01307,Käthe-Kollwitz-Ufer 23
Reichenbach,,Saxonya farms GmbH,02894,Meuselwitzer Str. 6
Dresden,,Saxony Veteran Cars GmbH,01219,Thomas-Mann-Str. 16
Dresden,,Saxonia Technologie Ltd. & Co. KG,01326,Weißer-Hirsch-Str. 17
Dresden,,SAXX Immobilien und Entwicklung GmbH,01067,An der Frauenkirche 12
Dresden,,Saxony Thermal UG (haftungsbeschränkt),01277,Am Schillergarten 3
Dresden OT Niederwartha,,Saxx Promotion GmbH,01156,Albertplatz 1
Dresden,,SAXVAL GmbH,01309,Wormser Str. 66
Dresden,,SB Möbel Boss Handels GmbH & Co. KG Gompitz,01156,Gompitzer Höhe 7
Seifhennersdorf,,SB Metall- Glasbau GmbH,02782,Leutersdorfer Str. 29
Köln,,SB Grundstücksverwaltungs UG (haftungsbeschränkt),50858,Leipziger Str. 16
Herrischried,,SB Leasing GmbH - Sachsen,79737,Kirchholzstr. 16
Radeberg,,SB BÜROAUSSTATTER GMBH,01454,Badstr. 30
Dresden,,SB Baugesellschaft Dresden mbH,01069,Zwickauer Str. 62
